t_iso,phase,calib,flip,stuck,mission_done,done_reason,lat,lon,dist_m,goal_deg,head_deg,err_deg,cmd_v,cmd_turn,nsat,hdop,red_ratio
2026-03-06T18:41:53,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:03,DROP,0,1,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:13,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:23,DROP,0,1,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:33,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:43,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:42:53,DROP,0,1,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:04,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:14,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:24,DROP,0,1,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:34,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:44,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:43:54,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:44:04,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:44:14,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:44:24,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:44:34,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:44:52,GPS,1,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:45:02,GPS,1,0,0,0,RUNNING,,,,,44.489356,,0.000000,0.000000,0,99.990000,
2026-03-06T18:45:12,GPS,1,0,0,0,RUNNING,,,,,166.541315,,0.000000,0.000000,0,99.990000,
2026-03-06T18:45:22,GPS,1,0,0,0,RUNNING,,,,,216.471226,,0.000000,0.000000,0,99.990000,
2026-03-06T18:45:32,GPS,1,1,0,0,RUNNING,,,,,5.589130,,0.000000,0.000000,0,99.990000,
2026-03-06T18:45:43,GPS,1,0,0,0,RUNNING,,,,,24.240217,,0.000000,0.000000,0,99.990000,
2026-03-06T18:45:53,GPS,1,0,0,0,RUNNING,,,,,38.068643,,0.000000,0.000000,0,99.990000,
2026-03-06T18:46:03,GPS,1,0,0,0,RUNNING,,,,,112.917666,,0.000000,0.000000,0,99.990000,
2026-03-06T18:46:13,GPS,1,1,0,0,RUNNING,,,,,127.052805,,0.000000,0.000000,2,15.080000,
2026-03-06T18:46:23,GPS,1,1,0,0,RUNNING,,,,,154.927790,,0.000000,0.000000,0,99.990000,
2026-03-06T18:46:33,GPS,1,1,0,0,RUNNING,,,,,149.500526,,0.000000,0.000000,0,99.990000,
2026-03-06T18:46:43,GPS,1,1,0,0,RUNNING,,,,,148.857076,,0.000000,0.000000,0,99.990000,
2026-03-06T18:46:53,GPS,1,1,0,0,RUNNING,,,,,151.204320,,0.000000,0.000000,0,99.990000,
