seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,6.2,4.3,0.8,30.38777667,130.94443400,-0.6,37.92,1020.90,27.36,-63.58,0.150,-1.000,9.440,9.494
2,0,6.7,5.0,0.5,30.38777667,130.94443400,-0.6,37.93,1020.89,27.24,-63.48,-0.030,-1.080,9.590,9.651
3,0,6.7,5.0,0.5,30.38777667,130.94443400,-0.6,37.93,1020.89,27.24,-63.48,-0.030,-1.080,9.590,9.651
4,0,6.7,5.0,0.5,30.38777667,130.94443400,-0.6,37.93,1020.89,27.24,-63.48,-0.030,-1.080,9.590,9.651
5,0,7.0,5.5,0.4,30.38777667,130.94443400,-0.6,37.91,1020.91,26.92,-63.39,0.000,-1.080,9.600,9.661
6,0,7.0,5.5,0.4,30.38777667,130.94443400,-0.6,37.91,1020.91,26.92,-63.39,0.000,-1.080,9.600,9.661
7,0,7.0,5.5,0.4,30.38777667,130.94443400,-0.6,37.91,1020.91,26.92,-63.39,0.000,-1.080,9.600,9.661
8,0,7.2,6.1,0.1,30.38777667,130.94443400,-0.9,37.90,1020.91,26.83,-63.46,-0.080,-1.170,9.630,9.701
9,0,7.2,6.1,0.1,30.38777667,130.94443400,-0.9,37.90,1020.91,26.83,-63.28,-0.080,-1.170,9.630,9.701
10,0,7.2,6.1,0.1,30.38777667,130.94443400,-0.9,37.90,1020.91,26.83,-63.28,-0.080,-1.170,9.630,9.701
11,0,7.2,6.1,0.1,30.38777667,130.94443400,-0.9,37.90,1020.91,26.83,-63.28,-0.080,-1.170,9.630,9.701
12,0,7.3,5.9,0.2,30.38777667,130.94443400,-0.9,37.91,1020.90,26.50,-63.40,-0.060,-1.110,9.720,9.783
13,0,7.3,5.9,0.2,30.38777667,130.94443400,-0.9,37.91,1020.90,26.50,-63.40,-0.060,-1.110,9.720,9.783
14,0,7.3,5.9,0.2,30.38777667,130.94443400,-0.9,37.91,1020.90,26.50,-63.40,-0.060,-1.110,9.720,9.783
15,0,7.5,5.5,0.6,30.38777667,130.94443400,-0.9,37.93,1020.92,27.02,-63.53,-0.010,-0.990,9.650,9.701
16,0,7.5,5.5,0.6,30.38777667,130.94443400,-0.9,37.93,1020.92,27.02,-63.53,-0.010,-0.990,9.650,9.701
17,0,7.5,5.5,0.6,30.38777667,130.94443400,-0.9,37.93,1020.92,27.02,-63.53,-0.010,-0.990,9.650,9.701
18,0,7.8,5.9,1.1,30.38777667,130.94443400,-1.1,37.91,1020.88,26.78,-63.31,-0.050,-0.990,9.680,9.731
19,0,7.8,5.9,1.1,30.38777667,130.94443400,-1.1,37.91,1020.88,26.78,-63.23,-0.050,-0.990,9.680,9.731
20,0,7.8,5.9,1.1,30.38777667,130.94443400,-1.1,37.91,1020.88,26.78,-63.23,-0.050,-0.990,9.680,9.731
21,0,7.8,5.9,1.1,30.38777667,130.94443400,-1.1,37.91,1020.88,26.78,-63.23,-0.050,-0.990,9.680,9.731
22,0,9.1,8.1,2.4,30.38777667,130.94443400,-1.1,37.93,1020.87,27.09,-63.30,0.260,-1.260,9.710,9.795
23,0,9.1,8.1,2.4,30.38777667,130.94443400,-1.1,37.93,1020.87,27.09,-63.30,0.260,-1.260,9.710,9.795
24,0,9.1,8.1,2.4,30.38777667,130.94443400,-1.1,37.93,1020.87,27.09,-63.30,0.260,-1.260,9.710,9.795
25,0,14.9,13.1,8.4,30.38777667,130.94443400,-1.1,37.92,1020.85,26.77,-63.48,1.200,-2.430,9.630,10.004
26,0,14.9,13.1,8.4,30.38777667,130.94443400,-1.1,37.92,1020.85,26.77,-63.48,1.200,-2.430,9.630,10.004
27,0,14.9,13.1,8.4,30.38777667,130.94443400,-1.1,37.92,1020.85,26.77,-63.48,1.200,-2.430,9.630,10.004
28,0,20.7,9.3,13.9,30.38750667,130.94474200,-1.1,37.92,1020.88,27.04,-63.37,1.770,-1.410,9.360,9.630
29,0,20.7,9.3,13.9,30.38750667,130.94474200,-1.1,37.92,1020.88,27.04,-63.26,1.770,-1.410,9.360,9.630
30,0,20.7,9.3,13.9,30.38750667,130.94474200,-1.1,37.92,1020.88,27.04,-63.26,1.770,-1.410,9.360,9.630
31,0,20.7,9.3,13.9,30.38750667,130.94474200,-1.1,37.92,1020.88,27.04,-63.26,1.770,-1.410,9.360,9.630
